title,subtitle,link,link2,link3,image
فتح البرامج الفرعية التخصصية,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_025.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_025-STEP_Minors-Orientation_03.pdf,,
المرحلة الثانية لتسجيل مقررات دراسية – فصل ربيع 2025,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_024.pdf,,,
تقديم طلبات تحسين مقرر دراسي في فصل ربيع 2025,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_023.pdf,,,
مرحلة تقديم طلبات الإلتماس على نتيجة خريف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_022.pdf,,,
تذكرة بسرعة تسجيل رغبات التخصص لطلاب المستوى العام,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_021.pdf,,,
تسجيل رغبات التخصص لطلاب المستوى العام,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_020.pdf,,,
مواعيد العمل بقاعة العمل التشاركي والجماعي,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_019.pdf,,,
نتيجة المراجعة الإدارية لشهادات التدريب الصناعي – خريف2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_018.pdf,,,
المرحلة الأولى لتسجيل المقررات الدراسية لفصل ربيع 2025,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_017.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_017-Registration-Rules-Calendar_Spring-2025-part1-01.pdf,,
نتيجة طلبات/التماسات المراجعة الإدارية لشهادات التدريب الصناعي – صيف 2024,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_016.pdf,,,
التذكرة بمرحلة التقييم الدوري للعملية التعليمية,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_015.pdf,,,
تسجيل مقرر اللغة الأجنبية في ربيع 2025GENS207(Foreign language),لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_014.pdf,,,
امتحان اللغة الإنجليزية,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_013.pdf,,,
مرحلة التقييم الدوري للعملية التعليمية,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_012.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_012-Evaluation-Tutorial-08.pdf,,
المحاضرة التعريفية بالبرامج التخصصية طلاب المستوى العام,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_011.pdf,,,
الجدول الرسمي لامتحانات نهاية الفصل الدراسي,لمزيد من المعلومات برجاء الاطلاع على الملفات المرفقة,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_010.pdf,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_010_Final-Exam-Fall-2024.pdf,,
مواعيد اجتماعات طلاب البرامج التخصصية مع فرق التدريس والمنسقين,لمزيد من المعلومات برجاء الاطلاع على الملف المرفق,https://eng.cu.edu.eg/wp-content/uploads/credituser/2015/FA24-ADM_AN_009.pdf,,,
